Какие два российских клуба выигрывали кубок УЕФА?|ЦСКА и Зенит|ЦСКА и Спартак|Зенит и Спартак|Спартак и Динамо
Чемпион мира по футболу 2006г.|Италия|Франция|Германия|Бразилия
Чемпион мира по футболу 1930г.|Уругвай|Германия|Бразилия|Англия
Чемпион мира по футболу 1934г.|Италия|Германия|Уругвай|Испания
Чемпион мира по футболу 1938г.|Италия|Испания|Бразилия|Аргентина
Чемпион мира по футболу 1950г.|Уругвай|Аргентина|США|Голландия
Чемпион мира по футболу 1954г.|Германия|СССР|Уругвай|Бразилия
Чемпион мира по футболу 1958г.|Бразилия|Германия|Франция|Англия
Чемпион мира по футболу 1962г.|Бразилия|Арентина|Италия|Франция
Чемпион мира по футболу 1966г.|Англия|Бразилия|Боливия|Испания
Чемпион мира по футболу 1970г.|Бразилия|Чехославакия|Англия|Италия
Чемпион мира по футболу 1974г.|Германия|Бразилия|Уругвай|Чили
Чемпион мира по футболу 1978г.|Аргентина|Германия|СССР|Англия
Чемпион мира по футболу 1982г.|Италия|Испания|Германия|Бразилия
Чемпион мира по футболу 1986г.|Аргентина|Испания|Уругвай|Бельгия
Чемпион мира по футболу 1990г.|Германия|Бельгия|Англия|Испания
Чемпион мира по футболу 1994г.|Бразилия|Португалия|Англия|Франция
Чемпион мира по футболу 1998г.|Франция|Германия|Англия|Бельгия
Чемпион мира по футболу 2002г.|Бразилия|Германия|Дания|Франция
Чемпион мира по футбола 2010г.|Испания|Германия|Франция|Португалия
Чемпион мира по футболу 2014г.|Германия|Франция|Испания|Россия
Чемпион мира по футболу 2018г.|Франция|Россия|Бельгия|Испания
